Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,6.2,2013,6,2.0,2013,6,2.0,4.0,19.0,1500.0,1519.0,1481.0,74.26372907327385
Hydrological,Flood,Riverine flood,PRK,Democratic People's Republic of Korea,Eastern Asia,21695.38,2013,7,12.0,2013,7,23.0,51.0,2.0,800000.0,848690.0,107022.0,74.26372907327385
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,0.0,2013,7,10.0,2013,7,10.0,17.0,13.0,1275.5,300.0,20565.5,74.26372907327385
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,120.0,2013,7,14.0,2013,7,14.0,9.0,150.0,390000.0,390150.0,619414.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,144.0,2013,6,30.0,2013,6,30.0,7.0,4.0,3592.0,3596.0,1347.0,74.26372907327385
Hydrological,Flood,Riverine flood,THA,Thailand,South-eastern Asia,29905.0,2013,7,25.0,2013,7,27.0,19.0,21.0,25450.0,20000.0,130616.0,74.26372907327385
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,29905.0,2013,7,28.0,2013,7,30.0,5.0,21.0,5000.0,5000.0,8753.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,144.0,2013,8,12.0,2013,8,15.0,18.0,7.0,395723.0,395730.0,43670.0,74.26372907327385
Hydrological,Flood,Flood (General),IND,India,Southern Asia,38019.26,2013,6,23.0,2013,6,15.0,80.0,21.0,2000000.0,2000000.0,107022.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,144.0,2013,8,22.0,2013,8,22.0,2.0,52.0,40000.0,14400.0,16159.0,74.26372907327385
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,29905.0,2013,9,12.0,2013,9,12.0,19.0,21.0,23640.0,23640.0,107022.0,74.26372907327385
Hydrological,Flood,Riverine flood,YEM,Yemen,Western Asia,29905.0,2013,8,16.0,2013,8,17.0,40.0,10.0,49082.0,49092.0,107022.0,74.26372907327385
Meteorological,Storm,Tornado,JPN,Japan,Eastern Asia,144.0,2013,9,2.0,2013,9,4.0,12.0,67.0,3864.0,3931.0,2693.0,74.26372907327385
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,29905.0,2013,8,1.0,2013,8,9.0,11.0,21.0,100000.0,100021.0,48476.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,144.0,2013,9,22.0,2013,9,22.0,12.0,52.0,40000.0,14400.0,8214.0,74.26372907327385
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,29905.0,2013,9,3.0,2013,9,4.0,29.0,21.0,1000.0,1000.0,107022.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,144.0,2013,9,16.0,2013,9,16.0,6.0,141.0,30147.0,30288.0,2693.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,133.0,2013,10,10.0,2013,10,15.0,20.0,154.0,109600.0,109754.0,102338.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,315.0,2013,11,8.0,2013,11,8.0,7354.0,28689.0,16078181.0,16106870.0,13465524.0,74.26372907327385
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,29905.0,2013,10,4.0,2013,10,10.0,20.0,21.0,207971.0,207971.0,2677.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,65.0,2013,11,22.0,2013,11,22.0,10.0,52.0,40000.0,14400.0,352797.0,74.26372907327385
Hydrological,Flood,Riverine flood,MYS,Malaysia,South-eastern Asia,106697.53,2013,12,1.0,2013,12,8.0,4.0,21.0,75000.0,75000.0,2693.0,74.26372907327385
Meteorological,Storm,Blizzard/Winter storm,PSE,State of Palestine,Western Asia,144.0,2013,12,9.0,2013,12,19.0,1.0,100.0,49971.0,50071.0,97437.0,74.26372907327385
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,29905.0,2013,2,26.0,2013,2,28.0,3.0,21.0,13860.0,13860.0,107022.0,74.26372907327385
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,5.1,2013,4,17.0,2013,4,17.0,7.0,10.0,80545.0,80555.0,51169.0,74.26372907327385
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,144.0,2013,4,28.0,2013,4,2.0,12.0,52.0,217000.0,217000.0,207369.0,74.26372907327385
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,6.0,2014,8,18.0,2014,8,18.0,7.0,250.0,12426.0,12250.0,56977.0,75.46845567806861
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,29905.0,2014,1,14.0,2014,1,17.0,20.0,21.0,128182.0,128182.0,202734.0,75.46845567806861
Hydrological,Flood,Flash flood,PAK,Pakistan,Southern Asia,29905.0,2016,8,5.0,2016,8,8.0,32.0,21.0,25450.0,2900.0,107022.0,76.51121620386147
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,0.0,2014,2,1.0,2014,2,1.0,32.0,2.0,32000.0,32002.0,109980.0,75.46845567806861
